Text,Period
q presente podia fazer partirse daquella cidade hirse pera outro lugar seguro en tao ordenou dese hir pera hũasua villa oito legoas cidade q chamao alaquer partio rai nha grande manhaa sendo ja es paço dia andado donas donzellas quantas auia emsua casa todolos ellas s cnde dom iohao affonso irmao mestre sactiago d fernao affonso almiran mice lançarote gonçalo mendez vascogoncellos tio rainha martim gonçal uez atayde pero louren ço tauora iohao affon so pimentel vasco perez camoens ayres vasquez aluaiade ioham gonçalues anadel mor lourençoeanes fogaça todolos dezem bargo delrey dom fernando assi aluoro gonçalues veador fazenda gyleanes,XV
aceitauao mui grandes aueres aluoro paez q ajuda feitos mestresegũ encima ja tendes ouuido ven tal demanda qse começaua algs diziao mestre q nao desye assi aquelles aueresque melhor seriao pera ellee dissehum dia falando el le senhor credeme conselho daruosha muy grande ajuda pera leuar voβo feito adiante conselho he disse mestre boopraz mehia senhor disse aluoro paes fazey guisaday aquello q ' voβo nao he prometey q nao tendes perdo ay aquem nao errou seruosha muy gram ajuda pera tal negocio sois posto mestre disse parecia bem fezeo assi daua bens todolos lugaresm elle ti nhao voz pessoas,XV
occupaçao juntaremse mogotes falar morte conde cousas auiao acon tecido deshi pois elrey ca stella deziao vinha rey maneira eeee defen sao delle hũs nomeauao in fante dom iohao dizendo nao podia ca ja preso castella nunca hauia solto ventura matariao azo porque esti assi acon tecera compria outreo infante reyno saluo mestre dauiz filho d pedro outro tomassem sey rey senhor gastado aquelle dia taes fala mentos seguinte manham tor narao semelhantes rezoes co tando cada hum pare cia taes deitos naceo antre el le hum nouo acordo dizendo bem roubar algũs iu deus riquos iudaria assi dom iudas,XV
dom fernan vendo muitos modos per raynha mostraua desorde nada affeiçao bemquerença conde iohao fernandez grande acrecentamento procuraua qualquer gui sa podia bem certificou pensamento verdade q ' gentes presumiao posto pubrica voz fama raynha hauia conde el le nenhũa parte soubesse nao algum ouzado tal cousa dizer postoque des honra bom desejodoese re ceando pena galardam mortal odio amizadem jaa algũs aconteceo taes nouas recontarem mormente reys grandes senhores assi elrey dom fernado bẽ entendia nenhũa cousa daua entender receando nouamente descobrir co duuida aquello pubrica voz fa ma tẽpo hauia affirma ua quado raynha leuou filha eluas fazer,XV
rodriguez priol sam nicolao fez gran eme larga despeza poz mantimento acertas pessoas uotasque rogassem deus ellee estado reynoas si foy iohao barrocae margaridaeanes maria ues empardeados auiao qua tro soldos dia fez hũa cou sa notauel grande louuor antre gentesque todos tiuerao assinado bemque al gũs erao presos poder castellaos guerraque ja aceza nao tinhao onde pagar rendiçoẽs el le mandaya tirar catiueiro pafando elles todo ha uiao dare outros fazia gros sas ajudaspera logo serem liures poder inimigos es tase semelhantes cousas brauacomeçou ses tam ama pouo vendo elle lar gueza doẽs leda prazi uel graça dar alem,XV
ate vis tempo azado poder vin gar segundo desejo cap dezassete rainha par tio lisboa pera alanquer maneira teue sua_ partida m ovida tal discor dia dissemos trabalhandose seguidores della leuar adiante opiniao rainha posta grandes pensamentos stura temor ca ella certa maneira mestre queria ter ella doutra parte temia moradores cidade assi nao sabia geito tiues segurança vida ho ra cuidando sobre esto muy tas mui desuairadas cousas en tendeo q milhor segu ra q presente podia fazer partirse daquella cidade hirse pera outro lugar seguro en tao ordenou dese hir pera hũasua villa oito legoas cidade q chamao,XV
tal cousa elrey muyto infamado lina gem della mayor deshpnra erao condes outros grandes reyno pero falan ello vezes todos torgauao tal feito nenhum nao atreuia primeiro conde bem en tendia taes pessoas nao bem seguro nao dando po rem entender nada grande estado guardamen tos azo delle auiao gra des desembargos delrey rainha fazia segurar pe ro foy assi conde dom iohao affonso irmao rai nha veo castella foy la prezo saltes chegou lisboa achando fama irmaa muyto peor leixara con dissemos houue del lo grande queixume deter minou matar falou cousa alguns mi lhores cidade hauia si affonseanes,XV
pe ra almamas fazia saluaçam delles todose satisfazer muyto seruiço honraque delles auia recebido estando ella lisboa paços ordenando pria seruiço deose pro ueito reynos tornara mestre dauiz ella ja enuiado poer recado vil las ordeme outras algu daquellas comarcae q'ma tara conde iohao fernandez cujo azoe aluoroço ci dadese partira dellae pa ra alanquere q enuiaua relar delles taes cousas sentir dello asquoaes tençao nao tomar vingança vontademas somente fazer direitoe justiçae entende ra enuiar recado elrey castellaque sofresse entrar reyno pera todos elles rece berem danoe reynos ficarẽ sobre syo gram duuida rainha filhae elrey marido cobrassem logo,XV
deus he sabedor todas cousas sabe bem ha ma elle merecida delha dar matalo vossos pa ços iβo nao diuera fazer porem senhoram vossa merce perdoar cousa per doardes inda chegara deus tempo volo pague naquellas q mandardes enten der voβo seruiço rainha quanto mestre falou nao fez nenhum final apra zia rezos ante calando mostraua triste geito tros olhando rezao es perando boa resposta vendo nao daua falou conde dom aluoro perez castro di zendo contra rainha he iβo senhora nao respondeis diz mestre nao perdoaes pareceme diz be ca nao he homemais theudo ainda foβe deus erra pedirlhe,XV
fernandez aueis tal quixume porque nha merecido bem tereis tẽ po pera mandar matar cada vez quizerdes outra ma neira nao desta guisa elrey cuidou neste feito pareceolhe rezoẽs boas rompeo car ta nao enuiada assi esca pou conde iohao fernandez nao morto despois desto sendo elrey dom fernando ente aficado daquella dor morreo serao noi finou estaua hi con iohao fernandez aquel les erao presentes vio nao auia elle outro remedio senao morte receando muyto feito acoimado algum aquel la hora ouue tao grao temor aquelle medo assi co mo degredo fez logo sa hir camara hir pressa condado,XV
